
Generating: '/home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py'

Executing: /usr/bin/python2 -u /home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py

i = 490, real = 151, imag = 186
i = 491, real = 167, imag = 186
i = 492, real = 159, imag = 202
i = 493, real = 175, imag = 202
i = 494, real = 159, imag = 218
i = 495, real = 175, imag = 218
i = 496, real = 171, imag = 178
i = 497, real = 187, imag = 178
i = 498, real = 171, imag = 194
i = 499, real = 187, imag = 194
i = 500, real = 179, imag = 210
i = 501, real = 195, imag = 210
i = 502, real = 179, imag = 226
i = 503, real = 195, imag = 226
i = 504, real = 187, imag = 186
i = 505, real = 203, imag = 186
i = 506, real = 187, imag = 202
i = 507, real = 203, imag = 202
i = 508, real = 195, imag = 218
i = 509, real = 211, imag = 218
i = 510, real = 195, imag = 234
i = 511, real = 211, imag = 234
i = 512, real = 18, imag = 73
i = 513, real = 34, imag = 73
i = 514, real = 18, imag = 89
i = 515, real = 34, imag = 89
i = 516, real = 26, imag = 105
i = 517, real = 42, imag = 105
i = 518, real = 26, imag = 121
i = 519, real = 42, imag = 121
i = 520, real = 34, imag = 81
i = 521, real = 50, imag = 81
i = 522, real = 34, imag = 97
i = 523, real = 50, imag = 97
i = 524, real = 42, imag = 113
i = 525, real = 58, imag = 113
i = 526, real = 42, imag = 129
i = 527, real = 58, imag = 129
i = 528, real = 54, imag = 89
i = 529, real = 70, imag = 89
i = 530, real = 54, imag = 105
i = 531, real = 70, imag = 105
i = 532, real = 62, imag = 121
i = 533, real = 78, imag = 121
i = 534, real = 62, imag = 137
i = 535, real = 78, imag = 137
i = 536, real = 70, imag = 97
i = 537, real = 86, imag = 97
i = 538, real = 70, imag = 113
i = 539, real = 86, imag = 113
i = 540, real = 78, imag = 129
i = 541, real = 94, imag = 129
i = 542, real = 78, imag = 145
i = 543, real = 94, imag = 145
i = 544, real = 26, imag = 109
i = 545, real = 42, imag = 109
i = 546, real = 26, imag = 125
i = 547, real = 42, imag = 125
i = 548, real = 34, imag = 141
i = 549, real = 50, imag = 141
i = 550, real = 34, imag = 157
i = 551, real = 50, imag = 157
i = 552, real = 42, imag = 117
i = 553, real = 58, imag = 117
i = 554, real = 42, imag = 133
i = 555, real = 58, imag = 133
i = 556, real = 50, imag = 149
i = 557, real = 66, imag = 149
i = 558, real = 50, imag = 165
i = 559, real = 66, imag = 165
i = 560, real = 62, imag = 125
i = 561, real = 78, imag = 125
i = 562, real = 62, imag = 141
i = 563, real = 78, imag = 141
i = 564, real = 70, imag = 157
i = 565, real = 86, imag = 157
i = 566, real = 70, imag = 173
i = 567, real = 86, imag = 173
i = 568, real = 78, imag = 133
i = 569, real = 94, imag = 133
i = 570, real = 78, imag = 149
i = 571, real = 94, imag = 149
i = 572, real = 86, imag = 165
i = 573, real = 102, imag = 165
i = 574, real = 86, imag = 181
i = 575, real = 102, imag = 181
i = 576, real = 36, imag = 145
i = 577, real = 52, imag = 145
i = 578, real = 36, imag = 161
i = 579, real = 52, imag = 161
i = 580, real = 44, imag = 177
i = 581, real = 60, imag = 177
i = 582, real = 44, imag = 193
i = 583, real = 60, imag = 193
i = 584, real = 52, imag = 153
